id,title,author,pages,year,genre_inferred,genre,status,notes
b0233,Trauma Can Kiss My Ass: A Poetic Memoir,Jane     Manning,258,2024,nonfiction,,active,
b0234,Out of Egypt,André Aciman,339,2007,other,,active,
b0235,"Head Cases (Head Cases, #1)",John  McMahon,341,2025,crime_mystery,,active,
b0236,"The Arrangement (The Arrangement, #1)",Kiersten Modglin,228,2021,other,,active,
b0237,"The Angel of Darkness (Dr. Laszlo Kreizler, #2)",Caleb Carr,770,2010,other,,active,
b0238,The Bazaar of Bad Dreams,Stephen  King,495,2015,other,,active,
b0239,The Thief of Always,Clive Barker,237,2024,other,,active,
b0240,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,240,2013,other,,active,
b0241,FantasticLand,Mike Bockoven,272,2016,other,,active,
b0242,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,324,2004,other,,active,
b0243,The Wild Robot Escapes,Peter  Brown,288,2020,sci_fi,,active,
b0244,Diagnosis: Impossible: The Problems of Dr. Sam Hawthorne,Edward D. Hoch,203,1996,other,,active,
b0245,The Great God Pan and Other Horror Stories,Arthur Machen,389,2018,other,,active,
b0246,The Collected Ghost Stories of E.F. Benson,E.F. Benson,672,2002,other,,active,
b0247,Profile K,Helen Sarah Fields,384,2024,other,,active,
b0248,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,389,1998,other,,active,
b0249,Why We Die: The New Science of Aging and the Quest for Immortality,Venki Ramakrishnan,320,2024,nonfiction,,active,
b0250,The Secrets She Keeps,Michael Robotham,352,2017,sci_fi,,active,
b0251,I Don't Want to Talk About It: Overcoming the Secret Legacy of Male Depression,Terrence Real,384,1998,other,,active,
b0252,"Speaks the Nightbird (Matthew Corbett, #1)",Robert McCammon,792,2007,other,,active,
b0253,The Suspect (Joe O'Loughlin #1),Michael Robotham,467,2018,sci_fi,,active,
b0254,False Witness,Karin Slaughter,448,2021,other,,active,
b0255,Life On Earth,David Attenborough,384,2019,other,,active,
b0256,The Laws of Human Nature,Robert Greene,624,2018,other,,active,
b0257,"Rabbit Heart: A Mother's Murder, a Daughter's Story",Kristine S. Ervin,304,2024,crime_mystery,,active,
b0258,"The Silent Man (DI Grace Archer, #3)",David  Fennell,360,2023,other,,active,
b0259,"The Black Dahlia (L.A. Quartet, #1)",James Ellroy,348,2006,other,,active,
b0260,The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,352,2019,other,,active,
b0261,The Rose Code,Kate Quinn,656,2021,other,,active,
b0262,The Choice: Embrace the Possible,Edith Eger,289,2017,other,,active,
b0263,"The Puppet Show (Washington Poe, #1)",M.W. Craven,352,2018,other,,active,
b0264,The Perfect Child,Lucinda Berry,371,2019,other,,active,
b0265,Gray After Dark,Noelle W. Ihli,370,2024,other,,active,
b0266,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,368,2016,sci_fi,,active,
b0267,Quantum Radio,A.G. Riddle,566,2023,sci_fi,,active,
b0268,The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,551,2007,other,,active,
b0269,Jar of Hearts,Jennifer Hillier,311,2018,other,,active,
b0270,Little Secrets,Jennifer Hillier,352,2020,other,,active,
b0271,Absolute Power,David Baldacci,550,2003,other,,active,
b0272,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,224,1997,sci_fi,,active,
b0273,Real Americans,Rachel Khong,399,2024,other,,active,
b0274,One Bite at a Time: Short Stories of Horror,Brandon Faircloth,223,2018,sci_fi,,active,
b0275,Talking with Patients: A Self Psychological View of Creative Intuition and Analytic Discipline,Sanford Shapiro,134,2008,other,,active,
b0276,"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,564,2000,other,,active,
b0277,The Afghanistan Papers: A Secret History of the War,Craig Whitlock,368,2021,sci_fi,,active,
b0278,White Rage: The Unspoken Truth of Our Racial Divide,Carol  Anderson,246,2016,other,,active,
b0279,"The Edge (The 6:20 Man, #2)",David Baldacci,417,2023,other,,active,
b0280,"Split Second (Sean King & Michelle Maxwell, #1)",David Baldacci,512,2004,other,,active,
b0281,The Devil and the Dark Water,Stuart Turton,463,2020,other,,active,
b0282,A Guest in the House,E.M. Carroll,256,2023,other,,active,
b0283,The Mousetrap and Other Plays,Agatha Christie,742,2000,other,,active,
b0284,庄子说什么,韩鹏杰,337,2021,other,,active,
b0285,The Sun Down Motel,Simone St. James,327,2020,other,,active,
b0286,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,337,2016,other,,active,
b0287,The Tokyo Zodiac Murders,Sōji Shimada,252,2005,crime_mystery,,active,
b0288,"The Hundred Years’ War on Palestine: A History of Settler-Colonial Conquest and Resistance, 1917–2017",Rashid Khalidi,319,2020,nonfiction,,active,
b0289,"The Andromeda Strain (Andromeda, #1)",Michael Crichton,327,2003,sci_fi,,active,
b0290,She Has a Broken Thing Where Her Heart Should Be,J.D. Barker,774,2020,other,,active,
b0291,The Kingdom,Jo Nesbø,560,2020,other,,active,
b0292,"The Host (The Host, #1)",Stephenie Meyer,619,2008,other,,active,
